t,u[0],u[1],u[2]
3.225,-9.62013,-8.03837,29.4424
3.23,-9.54104,-7.88069,29.4365
3.235,-9.45803,-7.72506,29.4199
3.24,-9.37138,-7.57199,29.393
3.245,-9.28141,-7.422,29.3559
3.25,-9.18844,-7.27556,29.3089
3.255,-9.09279,-7.13311,29.2524
3.26,-8.99481,-6.99504,29.1867
3.265,-8.89482,-6.86172,29.1121
3.27,-8.79317,-6.73348,29.0291
3.275,-8.69018,-6.6106,28.9381
3.28,-8.5862,-6.49334,28.8395
3.285,-8.48156,-6.3819,28.7337
3.29,-8.37658,-6.27647,28.6213
3.295,-8.27157,-6.17718,28.5025
3.3,-8.16685,-6.08416,28.378
3.305,-8.06272,-5.99747,28.248
3.31,-7.95945,-5.91717,28.1132
3.315,-7.85734,-5.84328,27.9738
3.32,-7.75664,-5.77581,27.8304
3.325,-7.6576,-5.71472,27.6833
3.33,-7.56045,-5.65999,27.533
3.335,-7.46543,-5.61154,27.3799
3.34,-7.37273,-5.5693,27.2243
3.345,-7.28256,-5.53319,27.0666
3.35,-7.19509,-5.5031,26.9072
3.355,-7.11049,-5.47892,26.7464
3.36,-7.02892,-5.46054,26.5846
3.365,-6.9505,-5.44784,26.422
3.37,-6.87536,-5.44069,26.259
